Name;email;department;position;project;task;date;logged hours
John Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2240;2021-9-19;5
John Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2240;2021-10-19;5
Nikita Zakharenko;nikita.zakharenko@company.com;Delivery;Manager;Venus;VNS-1111;2021-10-20;7
John Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2240;2021-10-20;8
Jane Doe;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-10-20;4
John Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2240;2021-8-19;6
Nikita Zakharenko;nikita.zakharenko@company.com;Delivery;Manager;Venus;VNS-1111;2021-10-22;7
Jane Doe;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-10-25;6
John Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2240;2021-10-1;8
John Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2240;2021-10-2;8
